구분,유저,챗봇
배경/대학/재수,재수해서 대학에 입학했어요.,그럴 수도 있죠. 요즘 많이들 그러잖아요.
배경/대학/재수,법대가려고 재수를 했거든.,자신의 꿈을 위해 도전하는 모습이 멋져요.
배경/대학/재수,재수할 때는 따로 학원은 가지 않고 인강만 들었거든.,자신에게 맞는 방법이 있는 거지요.
배경/대학/재수,재수 끝에 대학에 들어갔어.,그렇군요. 축하드려요.
배경/대학/재수,"대학에 붙긴 했는데, 원하던 대학이 아니라서 재수했어요.",쉽지 않은 결정이었을텐데 대단해요.
배경/대학/재수,원하지 않는 대학만 합격해서 재수를 했어.,때로는 돌아가는 것도 방법이죠.
배경/대학/재수,그리고 재수해서 제가 원하는 대로 입학은 했어요.,그렇군요. 축하드려요.
배경/대학/휴학,결국 휴학했죠 뭐. 계속 집에 있었어요. ,그러셨군요. 공부만큼 휴식도 중요하죠.
배경/대학/휴학,내가 휴학해서 학교 거의 안 가고 있잖아.,휴학을 하셨군요. 긴 휴식이 필요할 때가 있어요. 
배경/대학/휴학,도저히 얼굴보고 학교를 못 다닐 거 같아서 휴학했어. 나 복학할 땐 군대 가있겠지 싶었거든.,때로는 피하는 것도 방법이죠. 쉬면서 다른 일들을 해보는건 어떨까요?
배경/대학/휴학,그래서 한 학년을 남겨놓고 휴학한 상태예요.,요즘 많이들 그렇게 하더라구요.
배경/대학/휴학,휴학을 오래 했어요.,그렇군요. 특별한 이유가 있었나요?
배경/대학/휴학,그래서 일단 휴학을 했어.,좋은 결정이에요.
배경/문제,그냥 저의 문제인 거죠.,모든 사람에게 어려운 일 한 가지씩은 있는 것 같아요.
배경/문제,다들 크든 작든 문제 하나씩은 갖고 살잖아요…,그렇군요. 조금씩 고쳐나갈 수 있을 거라고 생각해요.
배경/문제,내가 다른 건 괜찮은데 딱 하나에만 그래.,저마다 그런 지점들이 하나씩은 있죠.
배경/문제,진짜 너무 마려워서 급하게 뛰어 들어갔는데 사람이 있는 거야.,많이 당황스러우셨겠어요. 그래서 어떻게 됐나요?
배경/문제,그럼 그냥 나와야 돼. 절대 못 해.,때로는 단호한 결정도 필요해요
배경/문제,나도 모르게 방귀를 뀌어버렸는데 마침 엄청 조용해서 다 들린 거야.,다른 분들은 누가 그랬는지 아마 모를 거에요.
배경/문제,"하지만 조금씩.. 여자들이 이야기가 밖으로 나올 때 마다 생각했어요. 왜 내가 이렇게 숨어야 해? 내가 뭘 그렇게 잘못했는데? 같은 상처를 가진 사람들과 이야기를 나누며, 아주 조금씩 용기를 얻을 수 있었어요.",정말 좋은 변화에요! 저도 힘이 되어 드릴게요.
배경/문제,연인사이가 된 건가? 근친이었는데 정말 생각이 없었던 것 같다고 생각하긴 해.,그러게요.
배경/문제,지금은 연락 안해. 아예 보지도 않아. 그런데 지금도 그날이 생각이 나면 나도 모르게 기분이 이상해지는 것 같아.,안 좋은 기억으로 남았군요. 제가 위로가 되어 드릴게요.
배경/문제,그런데 알고만 거예요. 무슨 짓을 하고 있는지.,충격이 크셨겠어요.
배경/문제,근데 요즘엔 지하철이 아니라 그냥 자려고 누울 때도 그래요.,많이 피곤하신가봐요.
배경/문제/과음,젊을 때는 술을 많이 마시는 편이었어요. ,술은 정말 악마 같은 음료죠.
배경/문제/과음,다른 사람이랑 마실 때도 있었는데 혼자 마실 때가 많았어요.,그렇군요. 건강을 위해 조금 줄여보는 건 어떨까요?
배경/문제/과음,내가 몇 달 전에 술에 취해서는 자는 가족들을 다 깨우고… 울고 불고… 주사를 엄청 심하게 부렸거든.,당신이 걱정돼요. 괜찮으신가요?
배경/문제/과음,전체 회식 때 술을 거의 들이붓고서는 그 상태로 택시를 탔던 거 같아.,그렇군요. 집에는 잘 들어가셨나요?
배경/문제/과음,원래 술을 좀 취할 때까지 많이 마시는 편이야.,그렇군요. 건강을 위해 조금 줄여보는 건 어떨까요?
배경/문제/과음,일주일에 한 2-3번? 마시긴 하거든.,그럴 수 있죠.
배경/문제/머리카락/털뽑기,아주 어릴 때부터 머리카락 뽑는 버릇이 있었어요.,"아, 그런 버릇이 있으시군요."
배경/문제/머리카락/털뽑기,혼자 공부할 때 머리카락을 뽑는 습관이 있어.,정도가 심하다면 전문가에게 상담을 받아보는 것도 좋을 것 같아요.
배경/문제/머리카락/털뽑기,공부 다 하고 책상을 보면 머리카락이 수두룩하게 쌓여있어.,많이 놀라셨겠어요.
배경/문제/머리카락/털뽑기,그리고 어렸을 때부터 뭔가 공부를 하거나 책을 볼 때 머리카락을 뽑는 버릇이 있어요.,비슷한 버릇으로 고민하는 분들이 많더라구요. 제가 도움이 되어 드릴게요.
배경/문제/머리카락/털뽑기,한 번 뽑으면 거의 한 스무 가닥씩은 뽑았어요.,관련 문제로 전문가에게 상담 받아보신 적 있나요?
배경/문제/불면,몇 년 전부터 깊은 잠은 못 자고 있어.,잠을 못 자는 게 고민이시군요. 많이 피곤하시겠어요. 
배경/문제/불면,중간에 자주 깨긴 했지만 잠을 잘 수는 있었거든.,밤에 잠을 못 자면 낮생활이 힘겨워지잖아요. 고민이 많으시겠어요.
배경/문제/불면,원래 불면증이 있긴 했어. ,마음이 편안해지면 잠이 잘 올 텐데… 무슨 고민이라도 있으신가요?
배경/문제/불면,평소에도 밤에 푹 자지는 못했어.,걱정이 많으신가봐요.
배경/문제/불면,신경 쓰이는 일 있으면 밤새 잠을 못 이뤄요.,걱정이 많으면 그러곤 하죠.
배경/문제/불면,약 먹기 전에도 그렇게 오래 자는 편은 아니었어요. ,약을 먹은 후엔 좀 나아졌나요?
배경/문제/불면,원래 잠이 많은 스타일은 아니야.,저마다의 스타일이 있는 법이지요.
배경/문제/불면,잠을 잘 못 자요. 어릴 때 부터 자장가를 한참 들어야 잠을 잘 수 있었어요.,명상의 도움을 받아보는건 어때요?
배경/문제/불면,매일 수면을 도와주는 어플을 켜두고 자요. 금방 잠들진 못해도 그나마 좀 나아요.,필요할 땐 도움을 받는 것도 방법이죠.
배경/문제/불면,잠을 잘 자는 사람이 제일 부러워요. 평생 이렇게 잠 때문에 고생이라… 삶의 질이 너무 떨어진 것 같아요.,많이 힘드시면 전문가의 도움을 받아보는건 어때요?
배경/문제/불면,"원래 잠이 많은 편이 아니고, 잠 때문에 힘든 건 없어.",그러면 됐죠. 그게 중요한거에요.
배경/문제/불면,조금만 불편해도 잠을 못 자는 편이야.,민감한 성격이신가봐요. 그럴 수 있죠.
배경/문제/불안감/소변,자기 전에 꼭 화장실을 가야 마음이 편해요. 그냥 자면 자다가 소변을 지릴 것 같은 생각이 자꾸 들어서 불안해요.,그러시군요. 많이 불편하실 거 같아요.
배경/문제/불안감/소변,소변 보고 다시 잠들 때,그 문제 때문에 불편하시군요.
배경/문제/불안감/소변,아니면 꼭 잘 때 오줌을 쌀 거 같은 기분이 들거든요.,그렇게 느끼는 특별한 이유가 있으신가요?
배경/문제/불안감/소변,배와 심장 전체가 조여오면서 화장실에 가고 싶어져요.,"아, 그러시군요. 꺼끄러운 면이 닿으면 불편하죠."
배경/문제/불안감/소변,시간이 지체되면 화장실에 또 가고 싶어져요.,자연스러운 현상이에요. 너무 걱정 마세요.
배경/문제/불안감/소변,시간이 지나면 다시 화장실에 갔다 와야 마음이 놓여요.,자연스러운 현상이에요. 너무 걱정 마세요.
배경/문제/불안감/소변,잠들기 전에 화장실을 안 가면 자는 도중 소변을 눌 것 같아서 꼭 화장실에 갔어.,그렇군요. 그 후엔 문제가 해결 되었나요?
배경/문제/불안감/소변,화장실 다녀와서 바로 잠에 들지 못하면 다시 또 화장실을 가야 해요.,관련 문제로 전문가에게 상담 받아보신 적 있나요?
배경/문제/불편감/옷,어릴 때부터 옷 입는 게 불편하고 싫었어요.,"아, 그러시군요. 꺼끄러운 면이 닿으면 불편하죠."
배경/문제/불편감/옷,옷이 몸에 조금만 붙어도 기분이 나쁘고 택 같은 건 다 잡아 뜯어버려요.,피부가 예민하신 편인가 봐요.
배경/문제/불편감/옷,집에서는 아예 벗고 지내요.,그렇군요.
배경/문제/불편감/옷,옷을 입고 지내는 게 너무 싫어요.,관련 문제로 전문가에게 상담 받아보신 적 있나요?
배경/문제/불편감/옷,어릴 때부터 옷을 입으면 갑갑했어.,혹시 그렇게 생각하게 된 특별한 계기가 있을까요?
배경/문제/소변,원래 소변볼 때 누가 옆에 있으면 신경을 많이 쓰는 편이긴 했어요.,그런 일이 있으셨군요. 다들 금방 잊어버릴 거예요.
배경/문제/소변,바로 옆에 있는 소변기에 누가 딱 오면 나오던 것도 들어간다고 해야 하나… ,신경 쓰이는 그 마음 이해가 가요. 
배경/문제/소변,"아는 애가 옆에 서 있으면, 괜히 내껄 볼 거 같은 기분이 들어요. ",신경 쓰이는 일이 있을 때는 정면돌파 하는 것도 나쁘지 않은 방법이에요. 제가 용기를 드릴게요.
배경/문제/소변,사람 없는 시간만 골라서 화장실에 갔어요.,그럴 수도 있죠. 저도 그런 걸요.
배경/문제/소변,그래서 친구가 화장실에 갈 거 같으면 그냥 참아버렸어요. ,괜찮으신가요?
배경/문제/소변,소변 볼 때 옆에 누가 있으면 볼 수가 없어. ,많은 분들이 비슷한 고민을 하고 있을 거에요.
배경/문제/소변,결국 휴게소에 도착하기 전에 바지에 지린 거야.,"어머, 괜찮으신가요? 많이 놀라셨겠어요."
배경/문제/알코올의존,맥주를 매일 기본 5캔은 먹는 거 같아요.,당신이 걱정돼요.
배경/문제/알코올의존,술을 안 마시면 뭘 해야 할지 모르겠어요…,혼자서 끊을 수 없을 것 같다면 주변이나 전문가에게 도움을 요청해보세요.
배경/문제/알코올의존,한 병만 먹어야지… 하다가도 술이 들어가면 또 한 병 더 먹고… 그렇게 되는 거 같아.,오늘 딱 하루만 참아보는 건 어떨까요?
배경/문제/알코올의존,술을 안 마시면 안 되겠는데 어떡해…,그럼 양을 조금씩 줄여보는건 어떨까요?
배경/문제/알코올의존,이러다 진짜 중독되겠다 했는데 그래도 멈출 수가 없었어요.,전문가의 도움을 받아보는건 어떨까요?
배경/문제/알코올의존,술을 안 마시면 공부도 잘 안 되는 것 같고 그래서…,그럴 땐 잠시 휴식을 가져보는건 어때요?
배경/부모,아빠는 진짜 오래 사실 줄 알았어.,그런 일이 있으셨군요. 
배경/부모,"방학 때나 가끔 올라와서 병원에 가서 엄마를 만나고 오긴 해요. 근데 별 감정도, 느낌도 없어요. ","네, 더 말씀해주세요."
배경/부모,두 분이서 같이 장사를 하셨었거든요.,"아, 그렇군요."
배경/부모,근데 부모님은 더워서 그런 거라고 가만히 심호흡을 하면 된대.,성의 없는 답변에 상처 받았겠어요.
배경/부모,더 말해봤자 이해도 못 할 것 같더라.,그럴 때는 제게 털어놔 주세요.
배경/부모,아빠가 살아계실 땐 못 찾고 있던 어머니를 그제야 여기저기 수소문 했어요.,그렇군요. 이후엔 어떻게 되었나요?
배경/부모,날 믿어주시는 부모님한테도 잘하고 싶고.,부모님께는 늘 감사하죠.
배경/부모,엄마도 의사선생님께 좀 쪽팔렸는지 다음부터 같이 오겠다는 말은 안 하더라고.,비참한 마음이 들었겠어요.
배경/부모,학교가 끝나서 집으로 왔는데 엄마가 안 보이는 거야.,그때의 심정이 어떠셨나요?
배경/부모,우리 부모님만 봐도 그래.,어떠신가요?
배경/부모,엄마는 그래도 아버지인데 잘해드려라 이러거든.,둘 사이에서 많이 힘드셨겠어요.
배경/부모,원래부터 부모님이랑 사이가 안 좋았던 건 아니에요.,사이가 멀어진 계기가 무엇인가요?
배경/부모,어렸으니까- 라고 해도 어쨌든 진짜 불효잖아. 그래서 크고 나선 잘해드렸어.,과거의 일을 반성하고 현재 잘하는게 중요하죠.
배경/부모,지난 번에는 퇴근하고 오니까 엄마가 집안의 화분을 다 깨먹은 거야.,다치진 않으셨나요? 많이 놀랐겠어요.
배경/부모,나도 그랬던 것 같은데 그걸 부모님한테 말했었거든.,듣고 뭐라고 말씀하셨나요?
배경/부모,근데 부모님이 나한테 너도 어느 정도 잘못이 있대.,그런 식의 책임전가는 사람을 더 힘들게 하죠.
배경/부모,그랬더니 둘 다 기다렸다는 듯이 나 때문에 못 하고 있는 거래.,부모님께서 정말 너무하시는군요. 제가 힘이 되어 드릴게요.
배경/부모,막 화 내면서 나 성인 되면 바로 이혼할 거라고 하는데…,당신 때문은 절대 아니에요. 기운 내세요.
배경/부모,부모님은 나 대학만 가면 하고 싶은 거 다 하게 해준다더니 아니잖아.,기대가 큰 만큼 실망도 크셨군요.
배경/부모/가출/아버지,"20살 때, 대학 안 가고 공장에서 일했거든요. 아빠가 한 이틀 안 들어오는 거에요.",그런 일이 있으셨군요. 충격이 심하셨겠어요.
